C,penalty,gram,score
2,l2,1,0.4487179487179487
1,l2,2,0.24358974358974358
2,l2,3,0.23076923076923078
2,l2,4,0.23076923076923078
2,l2,5,0.23076923076923078
2,l2,6,0.23076923076923078
