max_depth,max_features,n_estimators,gram,score
11,log2,50,1,0.33333333333333337
11,log2,50,2,0.23076923076923075
11,sqrt,50,3,0.23076923076923078
11,sqrt,50,4,0.23076923076923078
11,sqrt,50,5,0.23076923076923078
11,sqrt,50,6,0.23076923076923078
